Restaurant,url
Giovanni's Ny Style Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d23609323-Reviews-Giovanni_s_Ny_Style_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
The Spice Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d5504738-Reviews-The_Spice_Kitchen-Johor_Bahru_Johor_Bahru_District_Johor.html
Tosca Trattoria Italiana at DoubleTree by Hilton Johor Bahru,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6890161-Reviews-Tosca_Trattoria_Italiana_at_DoubleTree_by_Hilton_Johor_Bahru-Johor_Bahru_Johor_Ba.html
JH Lovely Sweets Indian Vegetarian Food,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d14981912-Reviews-JH_Lovely_Sweets_Indian_Vegetarian_Food-Johor_Bahru_Johor_Bahru_District_Johor.html
Chez Papa French Bistro and Wine Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d1134408-Reviews-Chez_Papa_French_Bistro_and_Wine_Bar-Johor_Bahru_Johor_Bahru_District_Johor.html
Makan Kitchen at DoubleTree by Hilton Johor Bahru,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6890156-Reviews-Makan_Kitchen_at_DoubleTree_by_Hilton_Johor_Bahru-Johor_Bahru_Johor_Bahru_Distric.html
Fatfish jb,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d12452957-Reviews-Fatfish_jb-Johor_Bahru_Johor_Bahru_District_Johor.html
Cafe BLD at Renaissance Johor Bahru Hotel,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d7729497-Reviews-Cafe_BLD_at_Renaissance_Johor_Bahru_Hotel-Johor_Bahru_Johor_Bahru_District_Johor.html
Quivo Southkey,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d20377085-Reviews-Quivo_Southkey-Johor_Bahru_Johor_Bahru_District_Johor.html
Spice Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d7256930-Reviews-Spice_Grill-Johor_Bahru_Johor_Bahru_District_Johor.html
Suasana Suites Cafe Johor Bahru,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d21187820-Reviews-Suasana_Suites_Cafe_Johor_Bahru-Johor_Bahru_Johor_Bahru_District_Johor.html
The Banana Leaf Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d19112591-Reviews-The_Banana_Leaf_Kitchen-Johor_Bahru_Johor_Bahru_District_Johor.html
Coppola Family Pizzeria & Wine Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6777915-Reviews-Coppola_Family_Pizzeria_Wine_Bar-Johor_Bahru_Johor_Bahru_District_Johor.html
7 Spice Indian Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d4944405-Reviews-7_Spice_Indian_Cuisine-Johor_Bahru_Johor_Bahru_District_Johor.html
Kam Long Curry Fish Head,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d4702644-Reviews-Kam_Long_Curry_Fish_Head-Johor_Bahru_Johor_Bahru_District_Johor.html
Amaya Food Gallery,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d12438231-Reviews-Amaya_Food_Gallery-Johor_Bahru_Johor_Bahru_District_Johor.html
Chakra,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2516894-Reviews-Chakra-Johor_Bahru_Johor_Bahru_District_Johor.html
Restaurant Teck Sing,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d1752481-Reviews-Restaurant_Teck_Sing-Johor_Bahru_Johor_Bahru_District_Johor.html
Kacang Pool Haji,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6886442-Reviews-Kacang_Pool_Haji-Johor_Bahru_Johor_Bahru_District_Johor.html
Naughty Bali,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d9568047-Reviews-Naughty_Bali-Johor_Bahru_Johor_Bahru_District_Johor.html
Gianni's Trattoria,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d1572886-Reviews-Gianni_s_Trattoria-Johor_Bahru_Johor_Bahru_District_Johor.html
Olive Kitchen + Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d4277975-Reviews-Olive_Kitchen_Bar-Johor_Bahru_Johor_Bahru_District_Johor.html
Ho Seng Kee,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2232189-Reviews-Ho_Seng_Kee-Johor_Bahru_Johor_Bahru_District_Johor.html
Arashi Shabu Shabu,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2238875-Reviews-Arashi_Shabu_Shabu-Johor_Bahru_Johor_Bahru_District_Johor.html
Zaituna Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d12979588-Reviews-Zaituna_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
The Replacement - Lodge & Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d8797827-Reviews-The_Replacement_Lodge_Kitchen-Johor_Bahru_Johor_Bahru_District_Johor.html
D'Laksa - Original Penang Laksa,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d9870411-Reviews-D_Laksa_Original_Penang_Laksa-Johor_Bahru_Johor_Bahru_District_Johor.html
Jeju Korea Bbq Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6759796-Reviews-Jeju_Korea_Bbq_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
George & Dragon Cafe at Taman Tasek,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d7115576-Reviews-George_Dragon_Cafe_at_Taman_Tasek-Johor_Bahru_Johor_Bahru_District_Johor.html
Yi Jia Seafood Restaurant (Bukit Indah),https://www.tripadvisor.com.my/Restaurant_Review-g298278-d7754075-Reviews-Yi_Jia_Seafood_Restaurant_Bukit_Indah-Johor_Bahru_Johor_Bahru_District_Johor.html
Wan Li Chinese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d7739605-Reviews-Wan_Li_Chinese_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
The Food Store,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d8466872-Reviews-The_Food_Store-Johor_Bahru_Johor_Bahru_District_Johor.html
Flowers in the Window,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d10038316-Reviews-Flowers_in_the_Window-Johor_Bahru_Johor_Bahru_District_Johor.html
CATS Cafe JB - Cats At Their Sanctuary,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d8630348-Reviews-CATS_Cafe_JB_Cats_At_Their_Sanctuary-Johor_Bahru_Johor_Bahru_District_Johor.html
Grill Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2168266-Reviews-Grill_Bar-Johor_Bahru_Johor_Bahru_District_Johor.html
Restaurant Ya Wang,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d4982900-Reviews-Restaurant_Ya_Wang-Johor_Bahru_Johor_Bahru_District_Johor.html
People & Places Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d14082258-Reviews-People_Places_Cafe-Johor_Bahru_Johor_Bahru_District_Johor.html
Meng Meng Roasted Duck,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2602548-Reviews-Meng_Meng_Roasted_Duck-Johor_Bahru_Johor_Bahru_District_Johor.html
The Grand Gem - Johor Bahru,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6855629-Reviews-The_Grand_Gem_Johor_Bahru-Johor_Bahru_Johor_Bahru_District_Johor.html
Pizz,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d16724177-Reviews-Pizz-Johor_Bahru_Johor_Bahru_District_Johor.html
SkyBar Bar & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d6609248-Reviews-SkyBar_Bar_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
Nijyumaru Japanese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2035848-Reviews-Nijyumaru_Japanese_Restaurant-Johor_Bahru_Johor_Bahru_District_Johor.html
W.W. Laksa House,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d2400407-Reviews-W_W_Laksa_House-Johor_Bahru_Johor_Bahru_District_Johor.html
Restoran Absolute Thai,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d5605660-Reviews-Restoran_Absolute_Thai-Johor_Bahru_Johor_Bahru_District_Johor.html
Restoran Pekin,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d5432255-Reviews-Restoran_Pekin-Johor_Bahru_Johor_Bahru_District_Johor.html
IT Roo Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298278-d1736241-Reviews-IT_Roo_Cafe-Johor_Bahru_Johor_Bahru_District_Johor.html
