Restaurant,url
El Toro Langkawi - Mexican Bar & Grill,https://www.tripadvisor.com.my/Restaurant_Review-g1096282-d16879132-Reviews-El_Toro_Langkawi_Mexican_Bar_Grill-Pantai_Cenang_Langkawi_Langkawi_District_Ked.html
Alhamdulillah Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g1096277-d13233900-Reviews-Alhamdulillah_Restaurant-Kuah_Langkawi_Langkawi_District_Kedah.html
Haroo Haroo Korean Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g2053325-d3261856-Reviews-Haroo_Haroo_Korean_Restaurant-Pantai_Tengah_Langkawi_Langkawi_District_Kedah.html
Rimba at Ambong Pool Villas,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d14150516-Reviews-Rimba_at_Ambong_Pool_Villas-Langkawi_Langkawi_District_Kedah.html
"Nook, Aloft Langkawi Pantai Tengah",https://www.tripadvisor.com.my/Restaurant_Review-g3174117-d17815909-Reviews-Nook_Aloft_Langkawi_Pantai_Tengah-Kampung_Kedawang_Langkawi_Langkawi_District_K.html
Kayuputi,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d10161810-Reviews-Kayuputi-Langkawi_Langkawi_District_Kedah.html
The Argan Trees Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d14922779-Reviews-The_Argan_Trees_Restaurant-Langkawi_Langkawi_District_Kedah.html
Verandah Lounge,https://www.tripadvisor.com.my/Restaurant_Review-g6384767-d3324096-Reviews-Verandah_Lounge-Pantai_Kok_Langkawi_Langkawi_District_Kedah.html
German Food Corner,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d3728198-Reviews-German_Food_Corner-Langkawi_Langkawi_District_Kedah.html
Breizh Up,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d9593137-Reviews-Breizh_Up-Langkawi_Langkawi_District_Kedah.html
Yasmin Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d5000128-Reviews-Yasmin_Restaurant-Langkawi_Langkawi_District_Kedah.html
Coco's Bistro,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d3170270-Reviews-Coco_s_Bistro-Langkawi_Langkawi_District_Kedah.html
Gallo Nero Italian Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d13148525-Reviews-Gallo_Nero_Italian_Restaurant-Langkawi_Langkawi_District_Kedah.html
Mangoes,https://www.tripadvisor.com.my/Restaurant_Review-g1774441-d1716284-Reviews-Mangoes-Kuala_Teriang_Langkawi_Langkawi_District_Kedah.html
Planter's at The Danna,https://www.tripadvisor.com.my/Restaurant_Review-g6384767-d7697310-Reviews-Planter_s_at_The_Danna-Pantai_Kok_Langkawi_Langkawi_District_Kedah.html
Haroo+,https://www.tripadvisor.com.my/Restaurant_Review-g1096277-d6774789-Reviews-Haroo-Kuah_Langkawi_Langkawi_District_Kedah.html
MY French Factory,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d7660096-Reviews-MY_French_Factory-Langkawi_Langkawi_District_Kedah.html
Arang BBQ & Grill Langkawi,https://www.tripadvisor.com.my/Restaurant_Review-g1096282-d13320353-Reviews-Arang_BBQ_Grill_Langkawi-Pantai_Cenang_Langkawi_Langkawi_District_Kedah.html
Yam Yam Cafe & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g2053325-d11766575-Reviews-Yam_Yam_Cafe_Restaurant-Pantai_Tengah_Langkawi_Langkawi_District_Kedah.html
Cba,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d4367585-Reviews-Cba-Langkawi_Langkawi_District_Kedah.html
The Beach Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d14456075-Reviews-The_Beach_Grill-Langkawi_Langkawi_District_Kedah.html
Jala Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298283-d3570253-Reviews-Jala_Restaurant-Langkawi_Langkawi_District_Kedah.html
