Restaurant,url
Southern Court Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d16865018-Reviews-Southern_Court_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Bulldog,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d8662777-Reviews-Bulldog-Melaka_Central_Melaka_District_Melaka_State.html
Trois by navy,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12506476-Reviews-Trois_by_navy-Melaka_Central_Melaka_District_Melaka_State.html
The Baboon House,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2511489-Reviews-The_Baboon_House-Melaka_Central_Melaka_District_Melaka_State.html
Wild Coriander,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12088101-Reviews-Wild_Coriander-Melaka_Central_Melaka_District_Melaka_State.html
SALUD Tapas Bar & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d7658800-Reviews-SALUD_Tapas_Bar_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Pampas Sky Dining Steakhouse,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d8724186-Reviews-Pampas_Sky_Dining_Steakhouse-Melaka_Central_Melaka_District_Melaka_State.html
Pak Putra Tandoori & Naan Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d877996-Reviews-Pak_Putra_Tandoori_Naan_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
River View Cafe Melaka,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d8360589-Reviews-River_View_Cafe_Melaka-Melaka_Central_Melaka_District_Melaka_State.html
Mori Vegetarian Tea House,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d10692147-Reviews-Mori_Vegetarian_Tea_House-Melaka_Central_Melaka_District_Melaka_State.html
Le QUE,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d6975400-Reviews-Le_QUE-Melaka_Central_Melaka_District_Melaka_State.html
Manis J Nyonya,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d11663839-Reviews-Manis_J_Nyonya-Melaka_Central_Melaka_District_Melaka_State.html
Relish The Moment,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12837628-Reviews-Relish_The_Moment-Melaka_Central_Melaka_District_Melaka_State.html
Selvam,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d969502-Reviews-Selvam-Melaka_Central_Melaka_District_Melaka_State.html
Kaya Kaya Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d7644341-Reviews-Kaya_Kaya_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Poh Piah Lwee,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2457167-Reviews-Poh_Piah_Lwee-Melaka_Central_Melaka_District_Melaka_State.html
Sid's Pub at Jonker's,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d10593311-Reviews-Sid_s_Pub_at_Jonker_s-Melaka_Central_Melaka_District_Melaka_State.html
Taste Better,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d5989623-Reviews-Taste_Better-Melaka_Central_Melaka_District_Melaka_State.html
Hard Rock Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d3860440-Reviews-Hard_Rock_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Geographer Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1058149-Reviews-Geographer_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Hoe Kee Chicken Rice Ball,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1156550-Reviews-Hoe_Kee_Chicken_Rice_Ball-Melaka_Central_Melaka_District_Melaka_State.html
restoran saravanna,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d3191621-Reviews-Restoran_saravanna-Melaka_Central_Melaka_District_Melaka_State.html
Restoran Tong Sheng,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2307497-Reviews-Restoran_Tong_Sheng-Melaka_Central_Melaka_District_Melaka_State.html
Wa Zen Japanese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d3601812-Reviews-Wa_Zen_Japanese_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Bei Zhan Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2258103-Reviews-Bei_Zhan_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Millers Kitchen Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d11887647-Reviews-Millers_Kitchen_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Nyonya Makko Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1156557-Reviews-Nyonya_Makko_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Our Kitchen Nyonya Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12842184-Reviews-Our_Kitchen_Nyonya_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Rock Bottom Malacca,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d10820988-Reviews-Rock_Bottom_Malacca-Melaka_Central_Melaka_District_Melaka_State.html
Teo Soon Loong Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1095415-Reviews-Teo_Soon_Loong_Seafood_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
EeJiBan Chicken Rice Ball Halal,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2369028-Reviews-EeJiBan_Chicken_Rice_Ball_Halal-Melaka_Central_Melaka_District_Melaka_State.html
Putu Piring Melaka,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1156555-Reviews-Putu_Piring_Melaka-Melaka_Central_Melaka_District_Melaka_State.html
Bica & Co Courtyard Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12958770-Reviews-Bica_Co_Courtyard_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Nancy's Kitchen Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1012676-Reviews-Nancy_s_Kitchen_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
SamFu Nyonya Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d8545751-Reviews-SamFu_Nyonya_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Cottage Spices A Taste of Melaka,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d4289801-Reviews-Cottage_Spices_A_Taste_of_Melaka-Melaka_Central_Melaka_District_Melaka_State.html
Busdriver.Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d17611505-Reviews-Busdriver_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Nyonya 63,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d15401188-Reviews-Nyonya_63-Melaka_Central_Melaka_District_Melaka_State.html
Sirocco Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2705856-Reviews-Sirocco_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
S Sihat Kafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12653786-Reviews-S_Sihat_Kafe-Melaka_Central_Melaka_District_Melaka_State.html
Restoran Aunty Lee,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2220603-Reviews-Restoran_Aunty_Lee-Melaka_Central_Melaka_District_Melaka_State.html
Ban Lee Siang,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1605632-Reviews-Ban_Lee_Siang-Melaka_Central_Melaka_District_Melaka_State.html
Monterios Portuguese Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d8630765-Reviews-Monterios_Portuguese_Seafood_Restaurant-Melaka_Central_Melaka_District_Melaka_Sta.html
Low Yong Moh Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d6552998-Reviews-Low_Yong_Moh_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Shui Xian Su Shi Yuan Vegetarian Food,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2673577-Reviews-Shui_Xian_Su_Shi_Yuan_Vegetarian_Food-Melaka_Central_Melaka_District_Melaka_State.html
Amy Heritage Nyonya Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2652379-Reviews-Amy_Heritage_Nyonya_Cuisine-Melaka_Central_Melaka_District_Melaka_State.html
Sayyid Antique & Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d10031090-Reviews-Sayyid_Antique_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Molten Chocolate Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12243291-Reviews-Molten_Chocolate_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
Daorae Korean BBQ Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d2624831-Reviews-Daorae_Korean_BBQ_Restaurant-Melaka_Central_Melaka_District_Melaka_State.html
Restaurant D' Tandoori House,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d1165196-Reviews-Restaurant_D_Tandoori_House-Melaka_Central_Melaka_District_Melaka_State.html
Eat at 18,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d7251203-Reviews-Eat_at_18-Melaka_Central_Melaka_District_Melaka_State.html
Noah Art Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g306997-d12333150-Reviews-Noah_Art_Cafe-Melaka_Central_Melaka_District_Melaka_State.html
