Restaurant,url
Bonzer Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12906626-Reviews-Bonzer_Restaurant-Miri_Miri_District_Sarawak.html
Zest,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4071490-Reviews-Zest-Miri_Miri_District_Sarawak.html
Ming Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1166444-Reviews-Ming_Cafe-Miri_Miri_District_Sarawak.html
Khan's Islamic Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1166443-Reviews-Khan_s_Islamic_Restaurant-Miri_Miri_District_Sarawak.html
Apollo Seafood Centre,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1166436-Reviews-Apollo_Seafood_Centre-Miri_Miri_District_Sarawak.html
Khan's Taj Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4688062-Reviews-Khan_s_Taj_Restaurant-Miri_Miri_District_Sarawak.html
Han Palace Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4225591-Reviews-Han_Palace_Restaurant-Miri_Miri_District_Sarawak.html
FuduBa,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d13906652-Reviews-FuduBa-Miri_Miri_District_Sarawak.html
The Workshop Grill,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d7778986-Reviews-The_Workshop_Grill-Miri_Miri_District_Sarawak.html
Summit Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d5267482-Reviews-Summit_Cafe-Miri_Miri_District_Sarawak.html
Tanjong Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d3314647-Reviews-Tanjong_Seafood_Restaurant-Miri_Miri_District_Sarawak.html
Madli's,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4236173-Reviews-Madli_s-Miri_Miri_District_Sarawak.html
Dragon Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d3456382-Reviews-Dragon_Seafood_Restaurant-Miri_Miri_District_Sarawak.html
Restoran muara lalapan,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4501802-Reviews-Restoran_muara_lalapan-Miri_Miri_District_Sarawak.html
Pete's Deli,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d2141974-Reviews-Pete_s_Deli-Miri_Miri_District_Sarawak.html
Central Market,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1166439-Reviews-Central_Market-Miri_Miri_District_Sarawak.html
Biryani Art,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10284600-Reviews-Biryani_Art-Miri_Miri_District_Sarawak.html
Lao Yang,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d6936587-Reviews-Lao_Yang-Miri_Miri_District_Sarawak.html
The Nest Cafe Lounge,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d17386683-Reviews-The_Nest_Cafe_Lounge-Miri_Miri_District_Sarawak.html
Piato Bistro,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d8528470-Reviews-Piato_Bistro-Miri_Miri_District_Sarawak.html
Imperial Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1583371-Reviews-Imperial_Restaurant-Miri_Miri_District_Sarawak.html
Pp cafe Miri,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d3344670-Reviews-Pp_cafe_Miri-Miri_Miri_District_Sarawak.html
Meng Chai Seafood,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d3974346-Reviews-Meng_Chai_Seafood-Miri_Miri_District_Sarawak.html
Excapade Sushi,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10079487-Reviews-Excapade_Sushi-Miri_Miri_District_Sarawak.html
Dynasty Chinese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1776264-Reviews-Dynasty_Chinese_Restaurant-Miri_Miri_District_Sarawak.html
Surf & Turf,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d7713043-Reviews-Surf_Turf-Miri_Miri_District_Sarawak.html
Zaika Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12290993-Reviews-Zaika_Restaurant-Miri_Miri_District_Sarawak.html
Miri Marriott Resort & Spa,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d8852849-Reviews-Miri_Marriott_Resort_Spa-Miri_Miri_District_Sarawak.html
Pullman Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10483554-Reviews-Pullman_Kitchen-Miri_Miri_District_Sarawak.html
Laksa Lolita,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10153308-Reviews-Laksa_Lolita-Miri_Miri_District_Sarawak.html
WZT Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1166903-Reviews-WZT_Cafe-Miri_Miri_District_Sarawak.html
Beach Republic miri,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d4827498-Reviews-Beach_Republic_miri-Miri_Miri_District_Sarawak.html
Fuel Shack,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10380013-Reviews-Fuel_Shack-Miri_Miri_District_Sarawak.html
Moongrind Kingdom,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d16760117-Reviews-Moongrind_Kingdom-Miri_Miri_District_Sarawak.html
Chomps Bar and Grill,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12845733-Reviews-Chomps_Bar_and_Grill-Miri_Miri_District_Sarawak.html
Seoul Garden Miri,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d17431407-Reviews-Seoul_Garden_Miri-Miri_Miri_District_Sarawak.html
Don's Burger,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12542663-Reviews-Don_s_Burger-Miri_Miri_District_Sarawak.html
Hornbill Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d16824862-Reviews-Hornbill_Cafe-Miri_Miri_District_Sarawak.html
Surabaya Restoran,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d5074388-Reviews-Surabaya_Restoran-Miri_Miri_District_Sarawak.html
Piasau Boat Club,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12485160-Reviews-Piasau_Boat_Club-Miri_Miri_District_Sarawak.html
Korea Heritage Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10675421-Reviews-Korea_Heritage_Restaurant-Miri_Miri_District_Sarawak.html
Sha Sha Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d20208035-Reviews-Sha_Sha_Restaurant-Miri_Miri_District_Sarawak.html
Cafe Rosita Coffee House,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d1776265-Reviews-Cafe_Rosita_Coffee_House-Miri_Miri_District_Sarawak.html
Container City,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d13426702-Reviews-Container_City-Miri_Miri_District_Sarawak.html
The Fisherman Wharf,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d14924194-Reviews-The_Fisherman_Wharf-Miri_Miri_District_Sarawak.html
Lemon Grass Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d12512062-Reviews-Lemon_Grass_Cafe-Miri_Miri_District_Sarawak.html
Tasty point 1,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d5598970-Reviews-Tasty_point_1-Miri_Miri_District_Sarawak.html
Rainforest Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10491756-Reviews-Rainforest_Cafe-Miri_Miri_District_Sarawak.html
Chillax Cafe & Bistro,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10161259-Reviews-Chillax_Cafe_Bistro-Miri_Miri_District_Sarawak.html
Matahari Pool Terrace,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10021111-Reviews-Matahari_Pool_Terrace-Miri_Miri_District_Sarawak.html
Desserts Master,https://www.tripadvisor.com.my/Restaurant_Review-g303998-d10328289-Reviews-Desserts_Master-Miri_Miri_District_Sarawak.html
