Restaurant,url
Healy Mac's Irish Bar & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d3313970-Reviews-Healy_Mac_s_Irish_Bar_Restaurant-Penang_Island_Penang.html
Knife and Fork Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d7616995-Reviews-Knife_and_Fork_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html
Two Frenchies Cafe Bistrot,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d13334848-Reviews-Two_Frenchies_Cafe_Bistrot-George_Town_Penang_Island_Penang.html
Salsas Penang,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d873166-Reviews-Salsas_Penang-George_Town_Penang_Island_Penang.html
Cheang Kee,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17433943-Reviews-Cheang_Kee-George_Town_Penang_Island_Penang.html
Orinea by Farquhar Mansion,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8015707-Reviews-Orinea_by_Farquhar_Mansion-George_Town_Penang_Island_Penang.html
The Loft - Love Lane,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17334602-Reviews-The_Loft_Love_Lane-George_Town_Penang_Island_Penang.html
Laksalicious,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d8703517-Reviews-Laksalicious-Penang_Island_Penang.html
SUPE - Georgetown Branch,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5431834-Reviews-SUPE_Georgetown_Branch-George_Town_Penang_Island_Penang.html
Junk Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d6105379-Reviews-Junk_Cafe-George_Town_Penang_Island_Penang.html
Kebaya Dining Room,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d3675401-Reviews-Kebaya_Dining_Room-George_Town_Penang_Island_Penang.html
Kota Dine & Coffee,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8842919-Reviews-Kota_Dine_Coffee-George_Town_Penang_Island_Penang.html
Andrew's Kampung,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3830801-Reviews-Andrew_s_Kampung-Batu_Ferringhi_Penang_Island_Penang.html
Pit Stop no.12,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5932357-Reviews-Pit_Stop_no_12-George_Town_Penang_Island_Penang.html
My Own Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5572672-Reviews-My_Own_Cafe-George_Town_Penang_Island_Penang.html
Kimpo Famous Roasted,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5967417-Reviews-Kimpo_Famous_Roasted-George_Town_Penang_Island_Penang.html
Holy Guacamole - Love Lane,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d13202451-Reviews-Holy_Guacamole_Love_Lane-George_Town_Penang_Island_Penang.html
Indigo Restaurant at The Blue Mansion,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8342506-Reviews-Indigo_Restaurant_at_The_Blue_Mansion-George_Town_Penang_Island_Penang.html
Lagenda Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d9722743-Reviews-Lagenda_Cafe-George_Town_Penang_Island_Penang.html
Jawi House Cafe Gallery,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d4702129-Reviews-Jawi_House_Cafe_Gallery-George_Town_Penang_Island_Penang.html
Bistro Tang,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5263957-Reviews-Bistro_Tang-George_Town_Penang_Island_Penang.html
Edelweiss Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d911540-Reviews-Edelweiss_Cafe-George_Town_Penang_Island_Penang.html
Living Room Cafe Bar & Gallery,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1933723-Reviews-Living_Room_Cafe_Bar_Gallery-Batu_Ferringhi_Penang_Island_Penang.html
Mews Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2314633-Reviews-Mews_Cafe-George_Town_Penang_Island_Penang.html
Tek Sen Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d1899837-Reviews-Tek_Sen_Restaurant-George_Town_Penang_Island_Penang.html
Feringgi Grill,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d2236337-Reviews-Feringgi_Grill-Batu_Ferringhi_Penang_Island_Penang.html
Boatman Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d1776455-Reviews-Boatman_Restaurant-Penang_Island_Penang.html
US Pizza,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d10344818-Reviews-US_Pizza-George_Town_Penang_Island_Penang.html
Enca Cafe & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d2520044-Reviews-Enca_Cafe_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html
Lavish,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d11765432-Reviews-Lavish-George_Town_Penang_Island_Penang.html
D'Loovi's,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d9608457-Reviews-D_Loovi_s-George_Town_Penang_Island_Penang.html
Helena's Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1948587-Reviews-Helena_s_Cafe-Batu_Ferringhi_Penang_Island_Penang.html
Heritage Artisans,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d14262927-Reviews-Heritage_Artisans-George_Town_Penang_Island_Penang.html
20 Chulia Lane Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8757697-Reviews-20_Chulia_Lane_Cafe-George_Town_Penang_Island_Penang.html
Pinxin Vegan Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d12063649-Reviews-Pinxin_Vegan_Cuisine-George_Town_Penang_Island_Penang.html
What the Duck Restaurant Penang,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7341028-Reviews-What_the_Duck_Restaurant_Penang-George_Town_Penang_Island_Penang.html
Puree Juice,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d19772506-Reviews-Puree_Juice-George_Town_Penang_Island_Penang.html
Bite N Eat Dindigul Biriyani,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d6438457-Reviews-Bite_N_Eat_Dindigul_Biriyani-George_Town_Penang_Island_Penang.html
WHEELER'S,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7219200-Reviews-WHEELER_S-George_Town_Penang_Island_Penang.html
Rubin Mardini Cafe Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3431277-Reviews-Rubin_Mardini_Cafe_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html
The Book Sandwich Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7675426-Reviews-The_Book_Sandwich_Cafe-George_Town_Penang_Island_Penang.html
Ivy's Nyonya Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2547972-Reviews-Ivy_s_Nyonya_Cuisine-George_Town_Penang_Island_Penang.html
Yeap Noodles,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d4561614-Reviews-Yeap_Noodles-Penang_Island_Penang.html
Il Bacaro,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d2257632-Reviews-Il_Bacaro-Penang_Island_Penang.html
Long Beach,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1772228-Reviews-Long_Beach-Batu_Ferringhi_Penang_Island_Penang.html
The Spice Market Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3202926-Reviews-The_Spice_Market_Cafe-Batu_Ferringhi_Penang_Island_Penang.html
Auntie Gaik Lean's,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d4992326-Reviews-Auntie_Gaik_Lean_s-Penang_Island_Penang.html
Via Pre Italian Restaurants,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2541938-Reviews-Via_Pre_Italian_Restaurants-George_Town_Penang_Island_Penang.html
DEEN MAJU,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5873013-Reviews-DEEN_MAJU-George_Town_Penang_Island_Penang.html
Malaya,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d15613152-Reviews-Malaya-George_Town_Penang_Island_Penang.html
Ferringhi Garden Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d2212429-Reviews-Ferringhi_Garden_Restaurant-Penang_Island_Penang.html
The Leaf Healthy Recipes,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d3773987-Reviews-The_Leaf_Healthy_Recipes-George_Town_Penang_Island_Penang.html
HYGGE Dining & Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17476502-Reviews-HYGGE_Dining_Bar-George_Town_Penang_Island_Penang.html
Olive Kitchen + Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d6916034-Reviews-Olive_Kitchen_Bar-George_Town_Penang_Island_Penang.html
Guan Guan Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1404141-Reviews-Guan_Guan_Cafe-Batu_Ferringhi_Penang_Island_Penang.html
Three Sixty Revolving Restaurant Skybar,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d5430143-Reviews-Three_Sixty_Revolving_Restaurant_Skybar-Penang_Island_Penang.html
Ayer Itam Penang Assam Laksa,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d3296239-Reviews-Ayer_Itam_Penang_Assam_Laksa-Penang_Island_Penang.html
Makan Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d13949176-Reviews-Makan_Kitchen-Batu_Ferringhi_Penang_Island_Penang.html
