Restaurant,url
Bistro a Table,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d2327253-Reviews-Bistro_a_Table-Petaling_Jaya_Petaling_District_Selangor.html
Ishin Japanese Dining,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4355273-Reviews-Ishin_Japanese_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html
Paya Serai,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1091556-Reviews-Paya_Serai-Petaling_Jaya_Petaling_District_Selangor.html
Yue,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d15032863-Reviews-Yue-Petaling_Jaya_Petaling_District_Selangor.html
Kampachi Plaza33,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d4915935-Reviews-Kampachi_Plaza33-Petaling_Jaya_Petaling_District_Selangor.html
Miyabi,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d13737561-Reviews-Miyabi-Petaling_Jaya_Petaling_District_Selangor.html
Genji Japanese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d5439209-Reviews-Genji_Japanese_Restaurant-Petaling_Jaya_Petaling_District_Selangor.html
Khan's Indian Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15119941-Reviews-Khan_s_Indian_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Toh Yuen Chinese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1091557-Reviews-Toh_Yuen_Chinese_Restaurant-Petaling_Jaya_Petaling_District_Selangor.html
Chambers Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6556473-Reviews-Chambers_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
Antipodean Atria,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d12091351-Reviews-Antipodean_Atria-Petaling_Jaya_Petaling_District_Selangor.html
Nizza,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13526208-Reviews-Nizza-Kuala_Lumpur_Wilayah_Persekutuan.html
Nero Nero,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12513281-Reviews-Nero_Nero-Kuala_Lumpur_Wilayah_Persekutuan.html
Iketeru Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d796300-Reviews-Iketeru_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Qureshi Malaysia,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7247738-Reviews-Qureshi_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html
Chynna,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1060218-Reviews-Chynna-Kuala_Lumpur_Wilayah_Persekutuan.html
Latest Recipe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d819678-Reviews-Latest_Recipe-Kuala_Lumpur_Wilayah_Persekutuan.html
Vasco's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4831795-Reviews-Vasco_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Gastro Sentral,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4084803-Reviews-Gastro_Sentral-Kuala_Lumpur_Wilayah_Persekutuan.html
