Restaurant,url
Mozer's,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d3703011-Reviews-Mozer_s-Shah_Alam_Petaling_District_Selangor.html
Teluk Pulai Bak Kut Teh,https://www.tripadvisor.com.my/Restaurant_Review-g1022648-d1122364-Reviews-Teluk_Pulai_Bak_Kut_Teh-Klang_Selangor.html
South Sea Seafood,https://www.tripadvisor.com.my/Restaurant_Review-g298317-d2487606-Reviews-South_Sea_Seafood-Subang_Jaya_Petaling_District_Selangor.html
Hadramawt Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d6028817-Reviews-Hadramawt_Kitchen-Shah_Alam_Petaling_District_Selangor.html
Ole Ole Bali Balinese Specialties,https://www.tripadvisor.com.my/Restaurant_Review-g298317-d7808305-Reviews-Ole_Ole_Bali_Balinese_Specialties-Subang_Jaya_Petaling_District_Selangor.html
Fatty Mee Hoon Kuih,https://www.tripadvisor.com.my/Restaurant_Review-g1022648-d5432285-Reviews-Fatty_Mee_Hoon_Kuih-Klang_Selangor.html
La Belle Saison,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d10791387-Reviews-La_Belle_Saison-Shah_Alam_Petaling_District_Selangor.html
Al Rawsha Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d3860410-Reviews-Al_Rawsha_Restaurant-Shah_Alam_Petaling_District_Selangor.html
Senja Italian Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d5849936-Reviews-Senja_Italian_Restaurant-Shah_Alam_Petaling_District_Selangor.html
Ti Chen Chinese Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d10060984-Reviews-Ti_Chen_Chinese_Restaurant-Shah_Alam_Petaling_District_Selangor.html
Restourant Boston,https://www.tripadvisor.com.my/Restaurant_Review-g1022648-d1088828-Reviews-Restourant_Boston-Klang_Selangor.html
Melting Pot Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d12119469-Reviews-Melting_Pot_Cafe-Shah_Alam_Petaling_District_Selangor.html
Garam Masala North Indian Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g1022648-d7213923-Reviews-Garam_Masala_North_Indian_Restaurant-Klang_Selangor.html
Charcoal Grill Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298316-d8600474-Reviews-Charcoal_Grill_Restaurant-Shah_Alam_Petaling_District_Selangor.html
