,Restaurant,url
0,1. Chambers Grill,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d6556473-Reviews-Chambers_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
1,2. Positano Risto,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15297795-Reviews-Positano_Risto-Kuala_Lumpur_Wilayah_Persekutuan.html
2,3. Sausage KL Cafe & Deli,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15042368-Reviews-Sausage_KL_Cafe_Deli-Kuala_Lumpur_Wilayah_Persekutuan.html
3,4. Canopy Rooftop Bar and Lounge,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d11947368-Reviews-Canopy_Rooftop_Bar_and_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
4,5. Iketeru Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d796300-Reviews-Iketeru_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
5,Knowhere Bangsar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15223699-Reviews-Knowhere_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html
6,6. Ishin Japanese Dining,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4355273-Reviews-Ishin_Japanese_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html
7,7. Latest Recipe,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d819678-Reviews-Latest_Recipe-Kuala_Lumpur_Wilayah_Persekutuan.html
8,8. Chynna,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1060218-Reviews-Chynna-Kuala_Lumpur_Wilayah_Persekutuan.html
9,9. Gastro Sentral,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4084803-Reviews-Gastro_Sentral-Kuala_Lumpur_Wilayah_Persekutuan.html
10,10. The Whisky Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3834170-Reviews-The_Whisky_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
11,11. Vasco's,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4831795-Reviews-Vasco_s-Kuala_Lumpur_Wilayah_Persekutuan.html
12,12. el iberico,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d13076821-Reviews-El_iberico-Kuala_Lumpur_Wilayah_Persekutuan.html
13,13. Nizza,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d13526208-Reviews-Nizza-Kuala_Lumpur_Wilayah_Persekutuan.html
14,14. Cielo Sky Dining & Lounge,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d13550462-Reviews-Cielo_Sky_Dining_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
15,15. Favola Italian Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1637422-Reviews-Favola_Italian_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
16,16. Rooftop 25 Bar and Lounge KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d17329080-Reviews-Rooftop_25_Bar_and_Lounge_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
17,"17. Flock, W Kuala Lumpur",https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15125499-Reviews-Flock_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
18,18. Beta KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d13418516-Reviews-Beta_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
19,19. The Grand Getaway by Grand Hyatt Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d22983303-Reviews-The_Grand_Getaway_by_Grand_Hyatt_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
20,20. Nadodi KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12247992-Reviews-Nadodi_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
21,21. Dining In The Dark KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3677326-Reviews-Dining_In_The_Dark_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
22,"22. YEN, W Kuala Lumpur",https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15360655-Reviews-YEN_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
23,23. Khan's Indian Cuisine,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15119941-Reviews-Khan_s_Indian_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
24,24. Nero Nero,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12513281-Reviews-Nero_Nero-Kuala_Lumpur_Wilayah_Persekutuan.html
