Author,Review,Rating,Restaurant,Location
Siti Shahroni,Beautiful restaurant for small number of people. Having small event dinner with friends and so satisfied with the customer service. of course lot of western food as well malay foods for dinner. Big portion with 9/10 of taste. Will surely come again with my family.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Tze Horng Tan,"One of the best Western restaurants in town. It is recommended to share with friends or family  as the food portion is big. The setting of the restaurant is classy and cozy. The staff is professional and attentive. As the restaurant is …MoreOne of the best Western restaurants in town. It is recommended to share with friends or family  as the food portion is big. The setting of the restaurant is classy and cozy. The staff is professional and attentive. As the restaurant is located in the Kingwood Hotel, the price can be a little bit pricey than others. No booking was needed for normal dish. However, if you're interested in trying the platter then you have to book in advance. The 5 star dining experience in Miri so far.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Syltrie Al-Harir,"The place is beautiful, clean and I enjoy my times eating in here. The place is easy to find, you can see it from the side while driving looking for it. …MoreThe place is beautiful, clean and I enjoy my times eating in here. The place is easy to find, you can see it from the side while driving looking for it.The waitresses are friendly and helpful. The food are delicious too.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Coffee Box,"nice restaurant, friendly staff, amazing food & love the environment 😋😋","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mac Chung,"Good environment, nice food!","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Eirina Hamid,"Great restaurant. Food tasty, bit oily but big portion. Luxury environment, luxury vibes and decorations. Price is average. Not too expensive not too cheap. Recommended for people out there especially for family gathering and group gathering.","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Tony Jeanes,"Walked past the place a few times and ventured in after reading the reviews. The place is very clean and tidy. The menu is adequate, I really fancied a steak, when I asked if they were fresh I was surprised to hear they weren't but I liked …MoreWalked past the place a few times and ventured in after reading the reviews. The place is very clean and tidy. The menu is adequate, I really fancied a steak, when I asked if they were fresh I was surprised to hear they weren't but I liked the honesty. Mind you for a frozen steak it seemed expensive. I opted for the fish and chips, asked for the price of bottled beers and decided against it. The food was good, I enjoyed it, though the grated parmesan on the fish was a bit odd. Could of done with some more vegetables or salad. Staff were very friendly and all in all a positive chilled experience.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
大仙家的仙女,"Celebrated my friend's birthday here, the staffs are really good, even after we've made the payment they still gave use another plates to eat the cake, they even help us to light the candles! I've seen them taking photos for a pair of …MoreCelebrated my friend's birthday here, the staffs are really good, even after we've made the payment they still gave use another plates to eat the cake, they even help us to light the candles! I've seen them taking photos for a pair of couples too, not to mention the chicken chop there has a large portion,the grilled potatoes are so yummy along with the sauce,the boiled vegetables are also my preference,and i love their cappuccino, delicious!such a lovely restaurant   ","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mariia Alekhina,"Very nice, cozy, stylish restaurant belonging to Kingwood hotel. Not too crowded, perfectly fits for relaxing talks. Better not to book breakfast with a room, as choice is limited. But breakfast from separate restaurant menu is good and affordable - paid total up to 20 RM incl coffee.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Emmielynn D,"This place is recommendable place for any occasions party or to have dinner with your loved ones. Credit to the friendly staffs and the chef, nice and knows what their customer  need and the food is the best!  If you never try you will never know! 😉","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
