Author,Review,Rating,Restaurant,Location
Loh Chia Hau,Ordered the set of 4 and 2 portion of mixed grills. The lamb with lady fingers definitely is good. The set comes with a lot of stuffs but the portion ain’t super big. We could definitely finish it without much hassle.Service is good. Staff are attentive and food are served pretty quickly despite a waiting time being stated for orders. Comfortable place to sit upstairs as well. Clean and cosy.Would return to try out other stuffs for sure.Ordered the set of 4 and 2 portion of mixed grills. The lamb with lady fingers definitely is good. The set comes with a lot of stuffs but the portion ain’t super big. We could definitely finish it without much hassle. …More,"Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Mohd Azlan Abu Bakar,Fantastic place which have been my go to place for the family when it comes to Arabic cuisine. The taste is uniquely authentic with a huge variety of choices.Best so far within Klang Valley. I usually order takeaway but the place itself is modern and comfortable enough for a small gathering.Friendly staff and great ambiance.Fantastic place which have been my go to place for the family when it comes to Arabic cuisine. The taste is uniquely authentic with a huge variety of choices.Best so far within Klang Valley. I usually order takeaway but the place itself …More,"Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Antony Lim,"Came here during dinner time on weekdays, not very packed and there is plenty of parking there.We ordered Small Mulawah Bread, Ladies Fingers with Lamb and highly recommend the Burma Lamb along with the rice for 2 person, total RM 74.15.Came here during dinner time on weekdays, not very packed and there is plenty of parking there. …More","Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
狐鸣,"Have ordered from this place multiple times during Lockdown, finally decided to pay the place a visit.One of the best Yemeni food around town. I will highly recommend the Rateb Bread if coming in a big group.","Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Cheetara Lynn,"We were in the mood to celebrate. So, we ordered chicken kebab, fahsa beef, Arabic tea with mint, watermelon, and apple juice - all of which were excellent. However, mandi rice with lamb and kunafa were kind of average. The rateb bread was nice, but we were not informed of the size, nature of this bread, or given more information when asked. Promising venue with room for improvement.We were in the mood to celebrate. So, we ordered chicken kebab, fahsa beef, Arabic tea with mint, watermelon, and apple juice - all of which were excellent. However, mandi rice with lamb and kunafa were kind of average. The rateb bread was …More","Rated 4.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Nauman Farooq,"Best Yemen Cuisine in town.Secludedly located in Glenmarie, Shah Alam.We have been visiting this restaurant since it’s humble business, they never disappoint us at every visit. So consistent.Owners and the staff all are super kind and humble. Keep Flourishing👍Best Yemen Cuisine in town.Secludedly located in Glenmarie, Shah Alam.We have been visiting this restaurant since it’s humble business, they never …More","Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Diyanna A,Had my order delivered to Puncak Alam. I have been eating at this place for many times and the food never failed me. THE BEST! My favourite is their mixed grill. Full of flavour. Most importantly their service is super fast!,"Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Idahaslina Abduljalil,Great place to get middle east food..thumbs up..good service and new ambience makes us more comfortable...we are repeated customer,"Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Syahirah N.,"It’s not my first time anyway but this Restaurant would be my first choice when I wanted to eat middle eastern foodSorry for ugly photos because we were so hungry as this was during Iftar! Hahah but definitely 5 stars!! Ordered lamb with maqlubah rice and it was so good! The meat was very tender and juicy. Chicken spageti was also unique and yummy as well. My kid loved it. Husband ordered grill chicken, so tender and the garlic sauce was to die for. So goood! Good service, very clean place and definitely would come again!!It’s not my first time anyway but this Restaurant would be my first choice when I wanted to eat middle eastern food …More","Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
Muhammad Imran,"Honestly, the food is amazing! Really delicious, the restaurant is nice & comfy and the people are pleasant as well! Easy recommendation for arabic food lovers!","Rated 5.0 out of 5,",Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,"Jalan Penguasa A U1/53A, Kawasan Perindustrian Temasya, Shah Alam, Selangor"
