Author,Title,Review,Rating,Dates,Restaurant
"AgentcikayKuala Lumpur, Malaysia",Fantastic International Cuisine at Cuisines,"Dinner here at Cuisines Restaurant was good. The dishes were well cooked, and whilst flavourful were low is sodium. Apparently no MSG is used in the cooking which is great especially for children. We had an excellent Ipoh Curry Noodles, Thai beef salad served with Miang Kham - Wild Betel Leaf Wrap and Hainanese Chicken rice on the Asian menu which was thoroughly delicious. From the Western menu, the Fish and Chips left a lasting impression - the batter was nice and crispy and the fish succulent. In the mornings, we had the buffet breakfast at Cuisines again - no complaints what so ever and our kiddo loved the eggs made sunny side up! The service personal we charming, well mannered and efficient. All in all a great time for the family!Show less",5,Reviewed 3 weeks ago ,Cuisines Restaurant
Merlinong2979,Heng Dai Cuti Cuti Ipoh,"Like the environment so much, we stay in block c 212 n 213 with clean n huge living hall n bedrooms. The view is perfect. Cooling even not on air cond.Like the staff Mr Siva in cuisines speciality restaurant, a nice guy with greeting n smiling face, passionate to offer his service. He helps us to take a nice view photos.Definitely will come back again.Show less",5,Reviewed 27 February 2022 ,Cuisines Restaurant
Hwathy09,Great service.Wonderful candlelight dinner meal.,"Had such a great candlelight 4 course meal in this place. Had to say it was one of the best meals me n my partner had.! The 1st course had our taste buds lighting in fireworks. It was good and scrumptious. If you hit up there, please look for Selva or Jeet. They were wonderful from the beginning. Friendly , professional and always looking into our needs. These kind of champs n food is wat makes this place good. Thank you for this experience❤Show less",4,Reviewed 25 February 2022 ,Cuisines Restaurant
EskandarShah,Saturday buffet bbq grill,Totally disappointed with the buffet spread which is very limited in terms of choice n of poor quality. Totally does not correspond with it status as a 5 star establishment. Staff was not proactive in clearing away the plates until being told. Buffet spread in Casuarina is much superior.Show less,2,Reviewed 19 February 2022 ,Cuisines Restaurant
dumbaacs88,Perfect Candle Light Dinner,It’s was a wonderful experience. The 4 course love menu was very nice and tasty. The view of the lake was very beautiful. We were served by Mr. Jeet who was very friendly and he took some wonderful pictures of us. He explained clearly about the menu and how the food was cooked. It’s a very healthy meal. We loved the 600m walk around the lake. The scenery was very beautiful. Overall we really like the place. It was a perfect Valentine Dinner. Thanks and will come again.Show less,5,Reviewed 15 February 2022 ,Cuisines Restaurant
DrPhilipPradeep,1 night stay at The Haven,"Beautiful place. Scenic landscapes. Very friendly and courteous staff, especially Mr. Jeet who srved us our meals.Definitely a go to place if u want to escape from the hustle and bustle of city life.Plenty of in house facilities to use, so there's really no need to step outside the resort.Show less",5,Reviewed 13 February 2022 ,Cuisines Restaurant
thengfei,Awesome Food & Stay,"Came for Vday celebration. The Vday 4 course meal was one of the best we ever had. The lamb was juicy n the dessert was awesome. Overall, pleasant stay.
And, Jeet was a great server. Ever helpful and cheerful.",5,Reviewed 12 February 2022 ,Cuisines Restaurant
Wamif9,First eat in ipoh,Great food and nice ambiance👍A wide range of food to select especially for a family. friendly service by staff as well. Highly recommend!!,5,Reviewed 11 February 2022 ,Cuisines Restaurant
Davidtan0317,THE BEST HOLIDAY AND DINING PLACE,5 star review and service in The Heaven especially the service of Cuisines Specialty Restaurant. The staff very friendly and nice smiling face. Highly recommended,5,Reviewed 28 January 2022 ,Cuisines Restaurant
DavidL13494,Proposal Event,"Had a great time at Haven for my proposal earlier this month. The ambience was nice, and most of all, the staffs were friendly and helpful. Shoutout to Raymond & Miguel for making the night memorable for us. BBQ buffet had a wide spread but could be improved on taste-wise. Overall, a great experience and recommended for any events.Show less",5,Reviewed 22 January 2022 ,Cuisines Restaurant
yjyjoanne,The Best Western Food in Town,I have been living in Ipoh for 5 years and personally I think this is the best value restaurant in Ipoh serving Western/ International food. Even my grandfather who always prefers Chinese food enjoys the fish and chips and beef steak here at the Cuisines. The open air setting of the alfresco area and atmosphere make the restaurant more preferable than ever during the covid times. Would surely come back for birthdays and other special occasions.Show less,5,Reviewed 23 October 2021 ,Cuisines Restaurant
Haziqinfinate,Candle Light Dinner,Excellent service and food. Staff also very friendly. Beautiful lake view. Convenient for whole family,5,Reviewed 19 October 2021 ,Cuisines Restaurant
evonnliew,Nice environment,"The overall atmosphere is lovely and relaxing, the room service breakfast is plentiful and the dinner tasted good with the swimming pool view, is a great place to take photos and check in.",5,Reviewed 19 October 2021 ,Cuisines Restaurant
Faizeryn,Anniversary dinner,"Staff named Jeet was very polite and helping us thru the course. However, my opinion is i think with the price and limited view for anniversary dinner is quite overboard. Maybe the cuisine can set a much private candle light dinner.",4,Reviewed 8 October 2021 ,Cuisines Restaurant
Zam1081,English Hi-Tea Session for Birthday Celebration.,"Everybody should come here and experience it.Nice natural greenier sceneries peg with stalagmite rock that aged over hundreds million years and beautiful lake view.great tropical ambience sorround with untouched forest.
Foods serve here A++.",5,Reviewed 4 October 2021 ,Cuisines Restaurant
Ipohresident,English Hi Tea,Simple hi tea to celebrate my husband birthday.. We love the nature friendly environment here.. Staffs are friendly.  Food was nice.. And we enjoy the moment..,5,Reviewed 4 October 2021 ,Cuisines Restaurant
Aquamanlion,Good Service and Good Food,Jeet and team gave a very good service. High hospitality. Different set of menu than usual. Nice place and scenery.,5,Reviewed 26 September 2021 ,Cuisines Restaurant
"edwinkhoosekhIpoh, Malaysia",Birthday dinner,"I eat here regularly. Most time the food is excellent and good ingredients especially by evening crews. My only negative experience was the beef cheese burger. (The beef patty sometimes overcooked). Due to mco, I suspect takeaway is not as tasty as dining in the restaurant while food still warm. I went to celebrate my birthday in Haven recently when dine in allowed. I love the food and the attention they give to us. Birthday set (one day booking in advance) is so good and value for money. I can't think of any other restaurant that could offer such a good birthday package and nice ambience/scene to enjoy with my family. The food quality is so good esp prawn salad. The mousse is yummy. Best of all being in outdoor concept surrounded by jungle is so fittingly safer during pandemic. Fresh air, attentive service and not crowded. I love it. Recommend you to try for yourself esp their special promotions. Show less",5,Reviewed 22 September 2021 ,Cuisines Restaurant
kj_Leena,The best moment !,"I recommend for those planning for proposal night or birthday ! This is the perfect place & environment! The staff were really nice & helpfull, especially Mr. Jeet. He was really helpfull for the whole process of our celebration. The food & drink really taste really good. 5 stars Show less",5,Reviewed 19 September 2021 ,Cuisines Restaurant
arilfazrie,Best food for breakfast!,Best and tasty food. The food is really healthy. there are many food to choose also hehe. Friendly staff and very clean place. Highly recommended!,5,Reviewed 17 September 2021 ,Cuisines Restaurant
SammyG3351,Thanks for the delivery,Ordered smoothies and hamburger for delivery. Received the delivery on time. The delivery driver was the chef himself. So polite and friendly. The food was delicious. The smoothie was so creamy. Will definitely order again.,5,Reviewed 15 July 2021 ,Cuisines Restaurant
LBYEAP,Fam Trip,"Best and tasty food. Many choices of food. Friendly staff, clean place. Highly recommended! Will come again!",5,Reviewed 28 April 2021 ,Cuisines Restaurant
Alex7001Alex,Wedding Anniversary,"The food n ambience was superb. A special thanks to Mr Jeet, who prepared a special table for us n rendered excellent  service n hospitality.",5,Reviewed 12 April 2021 ,Cuisines Restaurant
Adel9876,"Calm and convenient, very good for relaxation","Stayed for 2 days at 1 bedroom lakeview suite. Convenient and well-equipped suit. However, the bathroom was small size. Swimming pool was so clean all the time and it is so relaxing. The food was so delicious ( specially western food) at the cuisines. Special thanks to Mr. Jeet at cuisines for his hospitality and caring to the guest's needs.Show less",5,Reviewed 8 April 2021 ,Cuisines Restaurant
