Author,Title,Review,Rating,Dates,Restaurant
p92093,"New York Style in Johor, Malaysia","Quality Pizza in New York Style, to my surprise the Pasta is so nice and the Shrimps are so Fresh. The boss from US have an absolute High quality standard.",5.0,Reviewed 1 week ago ,Giovanni's Ny Style Restaurant
kitc883,Best Pizza in town,"The best Pizza & spaghetti i ever had in jb , worth to have a try if you're a pizza lover ! and don't forget the Eggplant Parmesan",5.0,Reviewed 1 week ago ,Giovanni's Ny Style Restaurant
Donnie M,Best Pizza in Malaysia,I have been raised on authentic NY pizza and this is the best I’ve had in all of Southeast Asia. From the brick pizza oven to the dough and sauce. We come every few weeks to get my fix. Also the staff is very friendly and gave great service. If you are looking for quality New York style pizza and Italian food stop by.Show less,5.0,Reviewed 1 week ago ,Giovanni's Ny Style Restaurant
edwardyH1128YJ,Great Restaurant for small groups and families.,"Ate here with one other person, food was great and tasted authentic, all the staff were nice and asked us how was the food, restaurant is clean, service was fast, price is reasonable.",5.0,Reviewed 2 weeks ago ,Giovanni's Ny Style Restaurant
nrnfrhh,Best NY pizza in JB!!!,Hands down to John for not giving up in his quest to find the perfect pizza in Johor. It’s in his own kitchen! Too many good choices of pizza with awesome crust and generous amount of cheese for topping and various other homemade italian/western food selections. Desserts ie cannoli and tiramisu cake were delicious too.The place seats small crowd at one time but don’t worry just hit John’s number and delivery will be arranged for you. Will come back soon for more fix-za lolShow less,5.0,Reviewed 20 November 2021 ,Giovanni's Ny Style Restaurant
ashridz,Best Pizza in JB,"Authentic New York style pizza. I don’t think there’s any places that offer the same in JB. 5/5 best I’ve ever had. Highly recommended for those who appreciate good, authentic pizzas. Will come again for sure!",5.0,Reviewed 20 November 2021 ,Giovanni's Ny Style Restaurant
Apoo0906,Spice kitchen,Good food and friendly staffs. Excellent service by Mr. Harish. Recommended if your looking for a North Indian food.,5.0,Reviewed 3 days ago ,The Spice Kitchen
"thilibhkGlugor, Malaysia",You will never regret dine in at Spice Kitchen,"Nice ambient, the food is fantastic which you will never regret to have meals that you have paid. Even the waiters is calm and friendly to serve you. In overall worth dine in at spice kitchen, and if you are a DCG member you will enjoy price reduction for your meal that you are having from the restaurant.Show less",5.0,Reviewed 1 week ago ,The Spice Kitchen
Kishen21,Tasty food,The food all taste nice.. food all with rich indian's spices..environment peaceful..good place to family gathering,4.0,Reviewed 1 week ago ,The Spice Kitchen
Nandita2037,Lunch,"Food was very good
Good portion size
Will come here again

Came with my friends to celebrate a birthday . The food was very tasty. The food came quick and the quantity was good.",5.0,Reviewed 1 week ago ,The Spice Kitchen
Srednesh N,Best food in Johor,"Excellent service, fabulous dishes, pleasant environment and fantastic team of staff !!
Great team !!",5.0,Reviewed 1 week ago ,The Spice Kitchen
"ChristopherL2185Johor Bahru, Malaysia",Farewell dinner for younger brother,"It was a nice dinner at Spice Kitchen again, we were served by Harish, he was the same server when we dined at Marco Polo Kitchen (another outlet from the same owner) previously.As usual he is friendly and speedy with his service, we didn’t wait long for our food and beverages to arrived, Harrish even sent us some complimentary dessert for us to try, it was very good.North Indian cuisine is tasty and delicious, but not recommended to people who cannot handle even mild spiciness.Will return again for sure, especially when you’re a member who get to enjoy 50% discount on all main course! Show less",5.0,Reviewed 1 week ago ,The Spice Kitchen
Rohanrastaman,Spice kitchen excellent,"Very nice and calm environment, staff very friendly and efficient food was so good, but f your are member you will get 50% discount",5.0,Reviewed 1 week ago ,The Spice Kitchen
Iamhuijie,The Spice Kitchen,"First time trying Indian Food, so nice!
1. Kebab Platter
2. Briyani 
3. Hot Gulab Jamun
The environment very comfortable, and the waiters are friendly.",5.0,Reviewed 2 weeks ago ,The Spice Kitchen
Puppyperson02,Great dinner,We've been regular customers for 4 years now and the quality of food remains excellent. The addition of chaats to their menu was a fabulous choice. The service is good and the delivery of the food after ordering is very fast. Will return soon!,5.0,Reviewed 2 weeks ago ,The Spice Kitchen
Ryvia,Lunch,Had good lunch with good environment. Price need check. Expensive. Need to amned with affordable and quality price.,5.0,Reviewed 3 weeks ago ,The Spice Kitchen
Shahirah s,Enjoyable lunch,"First time trying lollipop chicken and chilli paneer,it was such an enjoyable lunch..hit the spot in many places..try mushroom kurkure too!super yummy",5.0,Reviewed 14 February 2022 ,The Spice Kitchen
Wslie,Recommended place,"Super Great environment, nice service and excellent foods 
Strongly recommend everyone to give it a try!",5.0,Reviewed 13 February 2022 ,The Spice Kitchen
Bhadreshvar10,The Spice Kitchen,The food is very delicious and the staff are so friendly. The price is also reasonable. I have tried the vegetarian dum biryani it’s really good.,5.0,Reviewed 13 February 2022 ,The Spice Kitchen
DK2807,Food was amazing!,The food was exceptionally delicious and timely. Harish has been great and helpful. Great food & time!,5.0,Reviewed 12 February 2022 ,The Spice Kitchen
ardaniie,THE SPICE KITCHEN,The foods are very delicious. This is our 4th visit to The Spice Kitchen. The service also great with kind staffs. Most recommended restaurant.,5.0,Reviewed 12 February 2022 ,The Spice Kitchen
yuetong923,‘The Spice Kitchen‘ The best Indian cuisine I have eaten in Johor Bahru,"Firstly, I would like to say about the service which is superb as the waiters are very friendly and as a Chinese the menu is unfamiliar to me but the waiters here introduced foods that suits my family’s taste . Besides the foods here are fresh, clean and also the taste are special. Highly recommended Show less",5.0,Reviewed 12 February 2022 ,The Spice Kitchen
SarahWee4194,Delicious Indian food,"Is a delicious indian food
Recomment to try 
Really love these food💖
Must try the tomato soup
Nice😋😋",5.0,Reviewed 12 February 2022 ,The Spice Kitchen
Koay_th123,An excellent restaurant,It serves mouthwatering food and the service is supreme!!! I would highly recommend this restaurant to everyone,5.0,Reviewed 11 February 2022 ,The Spice Kitchen
kindaichico,Chesse Nan,Order chesse nan with lamb. Chesse was not good. Less chesse. U can try better CNan at mamak. Lamb curry also not nice. I believe at 7spice is more better than that. The place is good and exclusive. Overall is not worth your money.,3.0,Reviewed 11 February 2022 ,The Spice Kitchen
