Author,Title,Review,Rating,Dates,Restaurant
"Sharmini_VioletLangkawi, Malaysia",I'm a happy foodie brought back in time at The Bikalan! ,"We reached The Bikalan located at the little Siniawan pekan(small township) by crossing the river by boat from one of the Siniawan kampungs. That itself was an experience I would not forget. But that was just one to many great things of The Bikalan experience. I love old architecture and when i saw Bikalan and the little Siniawan town street, I felt I was taken back in time like in the movies of an old cowboy town.. all was missing were horse carriages. This gave a great feel, to add to this, Andy the 'Tokey' of Bikalan was giving us a run down on the history of Siniawan and what it has become today. Andy's wife (the other but the big 'Tokey') is a native Bidayuh and so I was excited to try the Bidayuh food served here. As what many have mentioned, the food here is the best, and you will come back for more for sure. Check out my pics for the food I had , I'm a vege lover (im not vegetarian) so I was a happy woman here. They have quite an extensive menu so means i have to come back to try many more dishes. Btw they have many many types of drinks here.. of course not forgeting the tuak and langkau. Tuak was ok for me.. but me no fan of langkau .. maybe i stay with my Gin and Tonic ! Or guinness draft! Back to the outlook of the place .. it is interestingly decorated with picture memories of the Siniawan town history, and mainly of all the faces that has grazed Bikalan. I hope we get our pic up too I too want to be on Bikalan's wall of fame! Lastly thanks to the good looking and plesant staffs.. of course to the cooks that made me happy tummy, and to Tokey Andy and Tokey Grace for your hospitality! We sending over people to you and we will be there again for sure! Show less",5.0,Reviewed yesterday ,The Bikalan
"GoPlaces20758429304Chennai (Madras), India","The most memorable meal in Sarawak by far, at the Bikalan, Siniawan !","We arrived at the Bikalan as guests on a strong recommendation and left as freinds ! Grace & Andy the lovely couple behind this hidden gem in Siniawan, a historic town an hour + from Kuching, make the Bikalan experience truly memorable. Its a non halal haven with great signature cocktails & the finest pork delicacies ! Must try the 'Bikalan Bastard' and 'Bikalan Burner' signature cocktails with a,sarawakian twist, infused with local herbs, spices. The bikalan also brews its own ' Tuak ' . Offered in 3 flavours/ variants, we carried a bottle back home with us as a souvenir ! Grace personally supervises her culinary team & has kept her family and sarawakian recipes alive at The Bikalan. Its an English Pub with a distinct Sarawakian twist, in the historic trading town of Siniawan, which makes for a truly unique dining experience. Our meal was by far the best on a 4 day trip to Sarawak. Do not miss the Signature Bikalan 3 layered pork Stew, which is steamed for over 6 hours andh literally melts in ur mouth ! Dont miss the Kolo mee goreng with omelette and the Cripy ginger pork, a layered pork delicacy marinated in fermented tofu & deep fried with ginger. A must hv is also the Cangkuk Manis Telur a local vege with eggs. We can wait to return to the Bikalan again and to explore the vast Menu ! Thank u very much Grace & Andy for an amazing gastronomic journey !Show less",5.0,Reviewed 3 weeks ago ,The Bikalan
"ShrutiN79Langkawi, Malaysia","The Bikalan, Siniawan.A must when in Kuching ","Andy and Grace are the ultimate hosts at The Bikalan at Siniawan in the outskirts of Kuching.A must visit to this restaurant.Try their very own Original Rice Tuak or Rose and then a shot of Langkau.Vodka Burner, a vodka infused with local chillies, ginger Tuak ,sundrop orange ,kaffir lime leaves ,lemon and a whole local chillie.Bikalan special stewed pork , a three layered pork steamed for 6 hrs with local spices is to die for!!!Show less",5.0,Reviewed 3 weeks ago ,The Bikalan
Maywal19,Excellent hosts and excellent food,"I came here yesterday evening for the first time after visiting the night market and sat on the terrace overlooking the river. It was a busy evening but we were attended to quickly and served freshly cooked food that was delicious.The hosts, Andy and Grace, are obviously passionate about what they do and they have created a fabulous restaurant and bar that you really feel at home in.Thank you for a great evening. I hope to see you again soon.Show less",5.0,Reviewed 20 February 2022 ,The Bikalan
"ShaunNolan45Kuching, Malaysia",Riverside Rest,"I dropped into The Bikalan recently and tried their Dynamite Sticks (big chillies stuffed with spicy pork and cheese, wrapped in a wanton skin) and, suffice to say, they blew my mind. Not only did they taste good, but they had a decent kick, albeit one of those slow, sneaky kicks that creeps up from behind and… wallop! If the Dynamite Sticks aren’t hot enough for you, The Bikalan’s very own firecracker, Grace, will be sure to get your temperature soaring with her sassy ways. She sure knows how to run a bar, as does her other half, Andy, who’s the salt of the earth and will see to it that you feel like a member of the The Bikalan family by the time you leave. Great food, great company. You’ll never drink alone.Show less",5.0,Reviewed 30 January 2022 ,The Bikalan
PHamsrtKuala lumpur,A remote watering hole,"Andy is a wonderful host...learnt about Sinawan's past and what it has become...the future is bright when Covid is behind us...The Bikalan is a great place to people watch, surrounded by lovely food stalls and a starry night...Sinawan night market is charming vist in an otherwise exceptionally remote part of Kuching.Show less",5.0,Reviewed 15 January 2022 ,The Bikalan
jameshj,The Bikalan still delivers.,"I last reviewed The Bikalan just after they opened. Since then they have experienced floods (2), tempest, plague (a,b,c and d so far), MCOs (lost count) and lockdown.And The Bik hasn't just survived. It has improved. There is a wider range of food and drink available, food preparation is better and both the welcome and the atmosphere deliver.You need to book a table at weekends when the street opens up but weekdays are more relaxed.Recommended.Show less",5.0,Reviewed 16 December 2021 ,The Bikalan
Lezzie1310,Nice place to chill,Very nice food and beers.. Definitely will come back again. Good crowd and hospitality from the owner Andy and Grace.,5.0,Reviewed 21 November 2021 ,The Bikalan
Suzzie-7443,Bikalan,"A must place to go whenever I come back to my hometown. The owner is very friendly and kind. The services, food and customer service is splendid. It’s one of the best and beautiful bar I’ve been to. An open concept bar. I bet you will love the environment so don’t miss the chance to go to this bar. You will eventually come here often more !!Show less",5.0,Reviewed 21 November 2021 ,The Bikalan
2595bennyj,Must go to place,"A must go to place whenever I am back to Kuching. Great ambience, and great food. Andy, Grace and the team will ensure you will have a superb time with their hospitality and friendliness.",5.0,Reviewed 13 November 2021 ,The Bikalan
