Author,Title,Review,Rating,Dates,Restaurant
"gilbertp715Sydney, Australia",Definitely bonzer indeed,"The highlight will have to be the ambience and the insta-worthy fit out of the restaurant. Food is also affordable given the environment and location. Lunch was faultless and came with a good portion. Service was also swift and efficient like a well-oiled machine. Thumbs up to GM, Mr Tiong and outlet manager, Ms May for putting together such a solid team. As the aussies say, bloody bonzah!Show less",5.0,Reviewed 18 January 2021 ,Bonzer Restaurant
"hazwanie02Shah Alam, Malaysia",Served Great Breakfast!,"Stayed at Kingwood Boutique Hotel for 2 nights but opted out breakfast. Decided to having a breakfast on my second day here. Ordered Chef Breakfast for my breakfast meal. The scrambled egg was really good! Price wise, affordable!Paid RM25.00 for Chef Breakfast, Nasi Lemak & 2 coffees.Show less",4.0,Reviewed 5 September 2020 ,Bonzer Restaurant
domdew,Amazing food and cozy place,"The staff was very welcoming and helpful. The food was really awesome, great chef! We had the creamy tomato sauce pasta, the pasta laksa (really yummy), the caesar salad wrap (very fresh). The atmosphere is cozy with nice music.",5.0,Reviewed 25 July 2020 ,Bonzer Restaurant
"OSWALDHIIKuching, Malaysia",Bonzer Restaurant,"The restaurant is located inside Kingwood Hotel, Miri with lobby cafe and mostly Western style cuisine. One special selection of pastas is meat ball spaghetti.Quite delicious and you should had a try.Show less",3.0,Reviewed 28 March 2020 ,Bonzer Restaurant
IvyT1972,Well done F & B team!,We had a good dining experience at Bonzer Restaurant on 29th Jan 2020. The restaurant has a pleasant atmosphere and attentive service. MS clarisia has done a good job in taking care of our needs. Food is up to our expectation. Well done F & B team!Show less,5.0,Reviewed 3 February 2020 ,Bonzer Restaurant
Lynthefoodlover,Cozy atmosphere and friendly staff,"My family had a great time at the Bonzer restaurant.The Bonzer platter is very tasty. My son loves the lamb so much.Thumbs up to the chef. With cosy atmosphere, delicious food, friendly and helpful staff, we will surely come back again. Thank you to May the manager for being so helpful even though she is on leave for the CNY. Kuddos to everyone .Show less",5.0,Reviewed 27 January 2020 ,Bonzer Restaurant
"Bartje1965Etten-Leur, The Netherlands",Nice food for a reasonable,Nice food for a reasonable price. Had dinner here and truly enjoyed the food and wine. Pleasant ambiance. Good service. Will come again. Show less,4.0,Reviewed 13 December 2019 ,Bonzer Restaurant
jimc55555555,Impeccable Service and Friendly Staff,"A nice cozy ambience with good quality and tasty foods that varies from traditional dishes to western foods, with friendly staff........a must to try!",5.0,Reviewed 28 November 2019 ,Bonzer Restaurant
MulyaniMalaysia,Team lunch at Bonzer,"We loved how organised the table arrangement was, as I had sent name list with food order earlier. Overall we loved the ambience and the service was superb.Only two downsides: 1. Spaghetti Aglio Olio was bitter, which we already fedback to the Manager in charge.2. Lamb chop's black pepper sauce was not peppery as it should be.Show less",4.0,Reviewed 27 October 2019 ,Bonzer Restaurant
"nazrul6898Miri, Malaysia",Nice ambience,"Nice restaurant in Miri, beautifully furbished. service is good, foods are decent and big portion, reasonably priced. Show less",5.0,Reviewed 21 October 2019 ,Bonzer Restaurant
