Author,Title,Review,Rating,Dates,Restaurant
Hitomi A,Bistro a table,"Delicious food, good atmosphere and superb service. I will love it very much and definitely will come again. Recommended.",5,Reviewed 10 December 2021 ,Bistro a Table
LarryLeeFamily,Enjoyed our 15th anniversary here,"Enjoyed the food, service and ambience here. Special thanks for finding us a corner with curtains for privacy + decorating our dessert plates! Highly recommended!",5,Reviewed 26 February 2021 ,Bistro a Table
Pixel8Malaysia,Horrible first time for 4,"Decided to try out the degustation sets here for anniversary dinner on a 11.11 weeknight. Our first time here turned to be a mistake overall. Food taste was amateurish, couldnt get the mix of ingredients here there. My deluxe set's only saving grace was the grilled langoustines but that was it. Sea urchin was bad, had to reject it and got replaced with a good one. The supposedly signature lamb for mains was just rubbery and old with tendons; the mushroom sides had sand/dirt which i was crunching into, urgh. Other 3 sets were just as bad, seabass mains were bland and mushy (not fresh). Duck was bland. Fortunately the chosen Rongopai house white was good to wash it all down. Turned out the usual chef was on long break,leaving the assistants to hold the fort. Not a good risk, this is what can hurt reputations, bad timing really. Hope the other 3 tables of customers had better luck that night.Show less",1,Reviewed 16 November 2020 ,Bistro a Table
redthevirgindragon,Private and good,"Love the corner table with curtain, we got a little private area as it was a special occasion. Chef came around the table a couple of times to check up on us. The waiter was and friendly but had a bit of trouble with the communication. Had to repeat what I said a few times, but it didn't really boil me because I don't like to make a big deal about it and it was a special event. No point spoiling it. Food was lovely. Had the 4-course degustation menu, and ordered a couple of other dishes to add-on. It was lovely and not too overwhelming as we wanted a light, slow and enjoyable dinner. Duck was the star of the night and risotto was amazing. They change menu every month, so please call and ask for the latest menu. Not everyone would enjoy French cuisine, so please go with an open mind. I love it!Show less",4,Reviewed 7 October 2020 ,Bistro a Table
alvinchang88,Nice restaurant,"Very nice restaurant, superb food, nice little corner with curtain, just the right privacy and atmosphere.",5,Reviewed 29 August 2020 ,Bistro a Table
BenjaminLowK,Recommended,"Firstly, I would like to thank you for the great service (staff very alert & friendly) & the ambiance is on point. Very relaxing and romantic. So, dating port is a must!Secondly, I tried their 4 course meal. Interesting combos & the duck just melts in your mouth! Ended with choc dessert & my tummy is fulfilled. Overall, I give 4.8 /5 stars ⭐️ The 0.2 was because it’s a little pricy but if you want awesome food & service visit them. P/s: will visit them again Show less",5,Reviewed 2 August 2020 ,Bistro a Table
"yabbadoobaSingapore, Singapore",Simply amazing food and chef!,"The food here is without a doubt one of the best I have ever tasted... and that says a lot as I am a big foodie!Owner and head chef, Isadora is simply wonderful as she really tries to bring the best to the table for her diners.Show less",5,Reviewed 22 April 2020 ,Bistro a Table
"eeshuangtKuala Lumpur, Malaysia",Excellent dining,Bistro a Table was introduced me long time ago. Finally got the occasion and we decided to gain the experience and wow. Definitely a new dinner place for us in PJ for future. Great service and very nice foods. 5stars food and service 4 stars price. superb!Show less,5,Reviewed 10 March 2020 ,Bistro a Table
PooiLing,Ms Leeza,Wonderful degustation menu sampled tonight. Flavors were out of this world and complimented by exceptional presentation. The service was extremely attentive.... Highly  recommended! A+,5,Reviewed 26 October 2019 ,Bistro a Table
"Fun8888Kuala Lumpur, Malaysia",Huge Disappointment ,We had high expectations especially experience chef Isadora at Antara Restaurant which we fondly remembered. Thus the reason for trying Bistro a Table. The ambience is great & the service is excellent. We had no issue with the degustation 4 meal couse but the ala carte Roasted quail stuffed with foie gras & truffle cream was given half cook where the rawness can be seen. Sent it back unfortunately towards the end of the same dish it was also not cooked properly.Certainly we will not come back .Show less,1,Reviewed 23 September 2019 ,Bistro a Table
"EnglishGarden12Selangor, Malaysia",Perfect for a romantic date night ,"My partner and I went to Bistro a Table last Saturday night for a treat on date night.He chose one of the 6 course taster menus, whilst I had the baked French onion soup followed by the seabass. I have to say the soup was absolutely the best onion soup I have ever had and all the food was cooked to perfection!We really appreciated the fact that chef Isadora came to our table to take our orders, talked us through the menu and come back to us several times throughout the evening to discuss the food. We had also notified the restaurant in advance of my garlic intolerance and Isadora was so informative and helpful, offering suggestions and ways she could adapt the menu for me.The ambiance of the restaurant was romantic, private and quiet - perfect for a romantic evening.Honestly, I’ve lived in Selangor for two years and I think it’s my favourite restaurant in PJ! Delicious.Show less",5,Reviewed 4 September 2019 ,Bistro a Table
Kevin010912,Hidden Gem,"Celebrated our 7th wedding anniversary here, and have to say wee were not disappointed. 
The food was excellent and the service was warm and efficient.
Will definitely be back.",5,Reviewed 1 September 2019 ,Bistro a Table
