Author,Title,Review,Rating,Dates,Restaurant
HensemNaan,Honestly not good,"Honestly not good. The lamb haneeth was obviously tender since anyone can cook it tender when u simmer it for that long. However it cannot go anymore blander than what my tastebuds felt that way. The rice was in big portion but obviously any arab place would serve equally large portions. There is no discernible difference between mandy, kabsa or other rice forms, so why bother?The shawarma was basically air wrapped pita. Very stingy with portions somehow, mayonnaiss tastes like unsweetened milk curd.It is somehow still packed with Shah Alam's most desensate-tongued patrons who continuously pleasure themselves with the illusion of good food.0/10 dont ever come hereShow less",1,Reviewed 27 November 2021 ,Mozer's
tylormark,Good Middle Eastern Food,Generally food is good and consistent. The grilled chicken wings were dry and was obviously from frozen stock and not fresh. We enjoyed ourselves very much and will be back to try their specials again,5,Reviewed 13 March 2021 ,Mozer's
"shabeenaa83Shah Alam, Malaysia",Nice arabic food,Love to eat arabic food hereGood tasty food n affordable price n big portions.....Service is good.... It's just nice n tasty food n great place to sit n chill with ur fmly n friends n having a good food feast....my son dont eat spicy food so this is the place....Show less,4,Reviewed 24 August 2020 ,Mozer's
"flashman974Kuala Lumpur, Malaysia",Syrian delight,"Went with friends and was pleasantly surprised with the atmosphere, owner's welcome and the quality of the dishes. Ordered a variety of dishes from the hummus with Arabian bread to grilled chicken salad, chicken shawarma, grilled salmon with rice. All were delicious.Would love to go again when in the area. Show less",4,Reviewed 7 March 2020 ,Mozer's
Roam653101,Middle Eastern Dining,"Leaving nearby, craving for some middle eastern food....don't have to travel far if you're staying nearby. Place is clean and nice. Could do better with better lighting, though. Serving is fast.",4,Reviewed 6 March 2020 ,Mozer's
"zulhikam aShah Alam, Malaysia",Unforgetable Dinner at Mozers,"This is not our first time having dinner or lunch at Mozers. It has been our ritual of once a week going there simply because the food is so great, very tasteful, the service was superb and the restaurant itself is so clean. Will definitely be there again and again.Show less",5,Reviewed 6 March 2020 ,Mozer's
HanimMT,A very nice setting for family lunch,We had family down from Kedah and decided for lunch. Friendly service and nice ambiance. The extensive menu ensures everyone had something to their liking.,5,Reviewed 2 March 2020 ,Mozer's
azrin73,Middle Eastern Food,Above average middle eastern food.. varieties of menu was good.. service was great.. clean tidy very comfortable.. reccomended for middle eastern arabic food lover.,4,Reviewed 19 February 2020 ,Mozer's
IanA1779,Lamb dishes are damn good.,"As far as Middle Eastern cuisine goes, they're pretty good. However, somehow, I always feel that they're just above being expensive. But you should try it at least once.",4,Reviewed 14 February 2020 ,Mozer's
FJoseph,Good Middle Eastern Fare,Generally food is good and consistent. But we noticed it's best to stick to the Middle Eastern fare. The grilled chicken wings were dry and was obviously from frozen stock and not fresh. The drinks were all exceedingly sweet.,4,Reviewed 13 January 2020 ,Mozer's
